num_leaves,learning_rate,min_child_samples,reg_lambda,best_iter,val_f1,threshold
31,0.05,20,0,429,0.3046,0.5767
31,0.05,20,1,452,0.3059,0.5875
31,0.05,50,0,494,0.3059,0.6109
31,0.05,50,1,465,0.3035,0.5857
31,0.1,20,0,165,0.3049,0.5911
31,0.1,20,1,156,0.3025,0.564
31,0.1,50,0,157,0.3021,0.6001
31,0.1,50,1,190,0.3043,0.5496
64,0.05,20,0,246,0.3058,0.5893
64,0.05,20,1,234,0.3038,0.5514
64,0.05,50,0,237,0.3053,0.5821
64,0.05,50,1,269,0.305,0.5622
64,0.1,20,0,120,0.3031,0.6109
64,0.1,20,1,133,0.3051,0.5947
64,0.1,50,0,114,0.3042,0.6127
64,0.1,50,1,136,0.3046,0.555
128,0.05,20,0,181,0.3038,0.5947
128,0.05,20,1,161,0.3047,0.5658
128,0.05,50,0,180,0.3042,0.5694
128,0.05,50,1,251,0.3071,0.5857
128,0.1,20,0,83,0.3039,0.555
128,0.1,20,1,93,0.3028,0.5658
128,0.1,50,0,81,0.3055,0.5857
128,0.1,50,1,127,0.3042,0.546
