num_leaves,learning_rate,min_child_samples,reg_lambda,best_iter,val_f1,threshold
31,0.05,20,0,999,0.6311,0.6416
31,0.05,20,1,1000,0.658,0.6001
31,0.05,50,0,997,0.6232,0.5893
31,0.05,50,1,1000,0.6478,0.6217
31,0.1,20,0,993,0.7266,0.4342
31,0.1,20,1,998,0.7442,0.3801
31,0.1,50,0,997,0.7191,0.4071
31,0.1,50,1,999,0.7403,0.4468
64,0.05,20,0,967,0.7881,0.3133
64,0.05,20,1,1000,0.8125,0.3656
64,0.05,50,0,1000,0.7924,0.3494
64,0.05,50,1,1000,0.796,0.3404
64,0.1,20,0,1000,0.8236,0.0789
64,0.1,20,1,997,0.8455,0.2087
64,0.1,50,0,997,0.8277,0.0933
64,0.1,50,1,1000,0.8403,0.1907
128,0.05,20,0,989,0.8639,0.0771
128,0.05,20,1,943,0.8602,0.1384
128,0.05,50,0,990,0.8496,0.0662
128,0.05,50,1,1000,0.8577,0.133
128,0.1,20,0,976,0.8447,0.0518
128,0.1,20,1,855,0.8453,0.0608
128,0.1,50,0,999,0.8424,0.05
128,0.1,50,1,948,0.8407,0.0753
